Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|884685|Hatch House Montessori|Elementary|15|25|||15|25
2018-2019|888814|Haven International School|Elem/Sec|||<10|<10|SP|SP
2018-2019|887242|Havergal College|Elem/Sec||460||575||1,035
2018-2019|884863|Hawthorn School for Girls|Elem/Sec|<10|60||30|SP|90
2018-2019|889971|Headwater Hills Montessori School|Elementary|15|<10|||15|SP
2018-2019|884186|Headwaters Academy|Elementary|15|<10|||15|SP
2018-2019|876500|Heritage Academy|Elem/Sec|40|15|35|<10|75|SP
2018-2019|880078|Heritage Christian Academy|Elem/Sec|45|35|10|20|55|55
2018-2019|880272|Heritage Christian School|Elementary|40|35|||40|35
2018-2019|875864|Heritage Christian School|Elem/Sec|240|240|80|85|320|320
2018-2019|885053|Heritage Community Christian School|Elementary|35|40|||35|40
2018-2019|668493|Heritage International School|Elem/Sec|<10|<10|<10|10|SP|SP
2018-2019|881112|Hidden Valley Amish Private School|Elementary|15|10|||15|10
2018-2019|886601|High Five Academy for Learning|Elementary|15|25|||15|25
2018-2019|880833|High Park Gardens Montessori School|Elementary|55|55|||55|55
2018-2019|668650|Higher Marks Educational Institute|Elem/Sec|15|<10|<10|<10|SP|10
2018-2019|882713|Highland Academy of Canada|Secondary|||20|10|20|10
2018-2019|882850|Hill Academy, The|Elem/Sec|30|<10|140|25|170|SP
2018-2019|880698|Hillcrest Private School|Elementary|10|<10|||10|SP
2018-2019|885568|Hillfield Strathallan College|Elem/Sec|320|290|245|240|565|530
2018-2019|888184|Hillview Christian Day School|Elem/Sec|<10|10|<10|<10|10|SP
2018-2019|875660|Hitherfield School|Elementary|35|35|||35|35
2018-2019|665275|Holy Family Achievement School of Academ|Elem/Sec|<10||<10|<10|SP|SP
2018-2019|665226|Holy Name of Mary College School|Elem/Sec||70||170||240
2018-2019|881481|Holy Trinity School|Elem/Sec|200|210|165|165|365|375
2018-2019|668940|Holyrood East Parochial School|Elementary|<10|10|||SP|10
2018-2019|666081|Hope Academy|Elementary|<10|<10|||SP|SP
2018-2019|884793|Hope Reformed Christian School|Elem/Sec|55|50|15|<10|70|SP
2018-2019|883750|Horizons Secondary School|Elem/Sec|||20|<10|20|SP
2018-2019|878227|Howick Maples Parochial School|Elementary|25|30|||25|30
2018-2019|665703|Howlett Academy|Elementary|60|60|||60|60
2018-2019|879258|Huamei-Bond International College|Secondary|||80|70|80|70
2018-2019|666661|Hudson College|Elem/Sec|115|80|75|70|190|150
2018-2019|875996|Humberside Montessori School|Elementary|165|130|||165|130
2018-2019|883001|Hummingbird Montessori School|Elementary|<10|15|||SP|15
2018-2019|885304|Huron Christian School|Elementary|85|85|||85|85
2018-2019|885212|Huron Hills Parochial School|Elementary|<10|10|||SP|10
2018-2019|885965|I am Smart S-Cool!|Elementary|<10|<10|||SP|SP
2018-2019|888839|IQRA Academy|Secondary|||50|30|50|30
2018-2019|878049|IQRA Islamic School|Elementary|95|95|||95|95
2018-2019|667586|ISM Elementary School|Elementary|15|30|||15|30
2018-2019|665401|ISNA High School|Secondary|||115|120|115|120
2018-2019|882925|ISNA Islamic School|Elementary|180|180|||180|180
2018-2019|885070|Immanuel Christian School|Elementary|60|60|||60|60
2018-2019|885940|Immanuel Christian School|Elementary|30|25|||30|25
